"","GSM4106225_1","GSM4106226_2","GSM4106227_3","GSM4106228_4","GSM4106229_5","GSM4106230_6","GSM4106231_7","GSM4106232_8","GSM4106233_9"
"17533952",5.11270417459636,5.42988198693246,5.16836838405823,5.69890483651063,5.3947869316278,5.7698404989218,5.53368885779441,5.25495769043238,5.12222509922501
"17491417",8.01373204933033,7.76083180096093,7.8234429476646,8.16614499090719,8.01373204933033,7.63346215339963,8.16226179810182,7.98005501838767,8.17344185856687
"17417107",5.30021958779759,5.88200603514173,5.85873088487515,5.95345539560318,5.5322426060536,5.64309345744768,4.71844753540619,5.6963436975294,5.71015362212296
"17296653",3.60749107029025,4.01619471367386,3.5971769541989,3.33604046480368,3.83155765790923,3.85752843689497,3.20035554414726,3.58623151820741,3.48920409194472
"17275976",6.03045699895944,5.64209327760975,5.54116891651371,5.63099537692027,6.04315507043679,5.92536489366004,5.59658189515086,5.52474794146967,5.44974634132156
"17366244",5.52364380637816,5.96949715124502,6.13819352418857,5.59791699344524,5.20686649541042,5.41962972138427,5.33257688801421,5.79546807330955,5.34821993582487
"17240303",3.7376538031987,4.46473339390263,3.57630237404046,4.07555333457471,3.85403658685079,5.61689893325443,3.76989374000826,4.74450403140686,4.94496773371171
"17485649",2.86182530683247,2.74060246135598,2.74976023127471,3.48047379366467,3.14148375440864,2.42701202460264,3.33637470959887,2.56204853383877,2.82737478640166
"17382087",5.6525446472135,5.20894132875842,4.65547410522185,5.88120838248464,5.05353562850295,5.24863272712654,4.97820585190927,5.41815385669077,5.27471972254289
"17242316",6.53426119086492,6.63365182469523,6.55502691688988,6.87127803978572,6.39557346217573,6.53426119086492,6.66354552795201,5.87086060310232,6.045098211104
"17242320",4.12588861129467,4.3173702669458,3.98966899007507,4.2077192741115,4.26873649912228,4.06369446416712,4.12588861129467,3.71178219848502,3.77651689056555
"17547380",3.86970734807426,3.86970734807426,3.51462440969432,3.94279357563206,3.4912838958103,3.96890670284378,3.87756174302063,3.89990904927262,3.86970734807426
"17260396",6.33147260686292,6.82271829917165,6.6412597147494,6.5964277861517,6.58015636318271,6.80384070707601,6.34405536013873,6.8352674986432,6.53964267712088
"17341161",4.91089929847234,5.32478139399665,5.34702132159516,5.0873559026476,5.2099464677723,5.42080778291384,4.19742600894363,5.20317548310966,5.2493282226752
"17417808",5.44801744834929,5.62417399377006,5.52957703718203,5.38196907110666,5.73047912000395,5.52957703718203,4.99673117917458,5.71193208172203,5.18886177310214
"17240098",3.03966717335448,2.38905564477141,3.01269382154037,3.24833752674827,2.92064837417422,2.50973562614978,2.691635853344,2.86167161225813,2.60274986637452
"17333386",3.87681440248844,4.3553388293089,4.07241713180782,3.91660920335113,4.63954098305051,3.63282802657026,4.02079748984706,3.95317616961632,4.61150842265956
"17288035",5.23876873791182,5.8575351437252,6.10386074630303,5.23162515141197,6.0089487096406,5.80513218440611,4.75143352849735,6.13387305893497,5.25659075969765
"17444697",3.79058295361003,3.72829568362063,3.39078260587475,3.29393463084276,3.47320522415705,3.82465957121118,3.80528405678907,3.51156184664824,3.3576339168714
"17318100",12.4721452172549,8.3051503012968,10.3378121144841,12.3489745984373,8.89133028688417,10.879853920103,12.2332960046498,9.72795274953615,10.9057343605142
"17333493",7.89862264580877,7.90799666912263,7.80751705011617,7.79493930789521,7.36493314706364,7.85676709024828,7.79493930789521,7.38977166832541,7.85638946333636
"17216120",4.73522042032775,4.83722561752547,4.71046837904415,5.05268538074706,4.46186111464362,4.43239705801365,5.26505545694394,5.09138599381079,5.06893520142904
"17499732",4.07993444970396,4.21344388005485,4.33993890110957,3.88767967311157,4.31945539384236,3.9481958573787,3.97370063991217,3.84352396752975,4.27178608511441
"17534665",9.1142105636135,9.75799707504013,9.83858381753458,9.41710265528212,9.94400828951496,9.80219480633493,9.24398443495738,10.0880025533375,10.0677512184431
"17450937",8.18174961440993,7.82095114940232,7.14935676831262,8.2609801934122,7.60025370993372,7.82570511007147,7.79449736646854,7.2482393022481,7.32335075361286
"17434955",3.05107294036782,3.37902480909306,3.59296244633074,3.5242708201313,3.4115106970441,3.58521813531318,3.53935913306402,3.13554135625748,3.49868041153756
"17499748",3.43844221277445,3.47629728254834,3.99441262337292,4.16968868662728,3.52176707938013,3.87144044919261,3.69883949989942,3.71391818708494,3.26645405807328
"17499753",6.13209268822143,6.08774787506272,5.66499690194925,6.24917420520813,5.826990331268,6.15144627742376,6.20472181627829,6.12045209775979,5.55255296878268
"17541713",6.98078284462982,7.59231370764345,7.63979270846061,7.15442576023821,8.00646926351963,7.97909116550289,7.36068230865113,7.57803969263277,7.46894024779408
"17293484",2.93633958794305,3.75539031062205,4.13266677767487,3.0040595447933,3.93582707182353,3.58223918810928,3.3371083981764,3.32137689552088,2.75279615260994
"17446017",5.73646185401212,5.34153587146834,4.67917518291086,5.19877789365597,4.85450432846246,4.99033227765909,5.52123326576203,5.39570905230747,6.0018322947685
"17539750",4.02547732818989,3.12695285389196,3.0230295423695,2.30351959536234,3.0358016517429,2.84131425412726,3.08526287080884,3.29604822838037,3.466318894157
"17260306",5.71482089785607,5.0589133606198,4.50590716197539,5.38562988428663,5.79118809029209,6.31466177773919,6.58535455840668,6.06983999061292,6.11764782917075
"17450527",9.94273880882669,9.64774432624864,10.0681273782505,10.1454590428232,9.76104680536339,10.0326820700062,10.0698834376744,9.38227929048759,9.94977822055117
"17473734",2.96346842523226,3.27879044977788,2.8426095606781,2.77513300660335,3.33645176639945,3.14837323031653,3.09614794094934,3.33489990049604,2.87720430634602
"17300223",7.36637974991673,6.43277370943778,7.06466314738897,7.60374775207141,6.90896014956537,6.16910206466896,7.58003594115099,7.20365431608419,7.2844654568503
"17486203",4.22019147863483,4.3320549633749,4.5129807710666,4.19127766877948,3.83050705969155,3.98434431248119,4.37291376614195,4.10815168431012,3.65356978712069
"17384811",5.90966509467509,6.12520007566894,6.06560778278646,5.69022820586291,5.45966380988464,5.90966509467509,6.08073748155503,5.76885584352135,5.43457922943255
"17388417",6.38543572398544,6.42896120950813,5.98741181710804,6.18974553688179,6.18974553688179,6.14708480834161,6.60896875084659,5.75635743258829,6.18974553688179
"17400428",3.63155736823015,4.62299199995764,4.04758864068704,4.14732599268072,3.93074980664352,4.45869329784873,4.06042274938662,4.36424316504934,4.09105629078798
"17486418",2.7146819160754,2.40289242270112,2.87143866298241,2.56303344340186,2.89585957727832,2.67657253170142,2.7146819160754,2.39657638881001,2.81329339178749
"17540325",6.54155868709133,6.663301711409,7.2890313692389,7.11572294089745,7.03954308181112,6.95776636334531,6.80332673484133,7.03876382248821,7.04778311727105
"17421469",3.18564286591778,3.58485237585582,3.85447138552501,3.33778357697575,3.92154308214835,3.27931221396687,4.05705821611588,3.93259364276865,4.04852182307273
"17236470",8.78378337909668,9.42630800054973,8.79752203288458,9.26482827907852,9.28474483310138,9.10683073318316,9.03047080958366,9.13139517239406,8.75002374053508
"17350684",4.55957930171941,4.54636723948309,4.57368977614383,4.67890027514296,4.53059537091929,4.11840564865405,4.87700009335308,4.93556490417557,3.93378518530552
"17308669",5.54931778242822,5.34827423965826,5.61733811357409,5.57882736675802,5.7353978047211,5.68860554471354,5.73858837862874,5.0643414412671,5.24618389455938
"17308727",6.89737603693025,6.7097731400502,7.3064735429113,7.04306545479191,7.04306545479191,6.60594307261712,7.04306545479191,7.56681541992734,7.11442923054289
